"","X","idno","agea","gndr","hinctnta","hlthhmp","medtrun","fltsd","cldgng","fltdpr","slprl","cgtsmok","alcfreq","dosprt","ctrlife"
"503",523,61859,43,1,7,3,2,2,1,1,2,6,7,1,8
"504",524,61877,54,2,8,3,2,1,2,2,2,6,4,2,6
"505",525,61878,41,2,77,3,2,1,1,1,3,6,7,0,5
"506",526,61885,79,2,77,3,2,1,2,1,3,4,5,0,7
"507",527,61911,85,1,3,3,2,1,2,1,2,6,2,3,8
"508",528,61922,45,1,6,3,1,1,1,1,1,6,7,3,10
"509",529,61954,36,1,5,3,2,1,2,1,3,4,3,5,8
"510",530,61955,33,2,88,3,2,1,1,1,1,6,7,7,8
"511",531,61971,19,2,88,3,2,2,1,1,2,6,5,3,8
"512",532,61981,28,1,77,3,1,1,1,1,1,4,6,2,8
"513",533,62008,58,2,77,2,2,1,1,2,2,4,1,0,6
"514",534,62044,80,2,3,3,1,3,3,2,2,4,5,0,10
"516",536,62084,26,1,2,3,1,1,2,1,2,4,4,7,9
"517",538,62175,58,2,6,3,1,2,2,2,2,3,7,2,8
"518",539,62227,75,2,2,3,2,2,1,2,2,6,6,0,6
"519",540,62264,38,1,77,3,2,1,1,1,1,6,7,3,8
"520",541,62278,36,1,88,3,2,1,1,1,2,1,2,7,6
"521",542,62289,74,1,6,3,1,2,1,1,2,6,2,3,9
"522",543,62293,36,1,77,3,2,2,1,1,1,6,3,4,7
"523",544,62304,44,1,8,3,2,1,1,1,2,5,4,3,9
"524",545,62306,36,2,4,3,2,1,1,1,1,3,6,5,9
"525",546,62318,15,1,5,3,1,2,1,1,1,6,7,0,7
"526",547,62358,67,1,3,3,2,1,1,1,2,1,2,0,9
"527",548,62422,48,2,77,3,2,1,1,1,1,6,7,3,8
"528",549,62425,48,1,10,3,1,1,1,1,2,6,7,2,6
"529",550,62448,51,2,5,3,1,2,2,2,2,1,3,3,7
"530",551,62500,57,2,8,3,7,1,1,1,2,6,3,4,8
"531",552,62549,45,1,7,2,2,2,2,1,3,4,2,5,7
"532",553,62555,77,2,77,1,2,2,1,1,1,6,7,0,10
"533",554,62654,80,2,9,3,2,1,2,1,2,4,2,7,8
"534",555,62655,68,1,3,2,2,1,2,2,2,1,7,4,8
"535",556,62711,73,2,6,2,2,2,1,1,1,6,3,7,7
"536",557,62767,40,2,10,3,2,1,1,1,3,6,5,5,8
"537",558,62814,59,1,1,1,2,1,1,1,2,6,6,0,5
"539",560,62893,32,2,10,3,2,1,2,1,3,5,4,7,7
"540",561,62900,35,1,2,3,1,2,2,2,2,4,3,2,7
"541",562,62930,30,2,3,3,1,1,1,1,2,6,7,4,7
"542",563,62954,84,1,2,3,2,1,1,1,1,6,3,5,7
"543",564,62962,59,1,5,3,2,1,1,1,1,6,3,3,8
"544",565,62970,66,2,8,2,2,1,1,1,1,4,7,7,10
"545",566,62996,32,2,5,3,1,1,2,1,4,1,5,7,6
"546",567,63005,56,2,10,3,2,1,1,1,1,6,2,5,8
"547",568,63025,80,1,77,2,2,1,1,1,1,2,2,0,7
"548",569,63029,68,2,2,3,2,1,2,2,3,1,3,7,7
"550",571,63050,57,1,88,1,2,2,1,3,3,1,1,4,5
"551",573,63212,36,2,88,1,2,2,2,2,3,3,2,2,7
"552",574,63230,38,1,9,3,1,2,2,1,1,4,3,5,7
"553",575,63236,61,1,8,2,1,1,2,2,3,6,1,3,7
"554",577,63242,37,1,1,2,2,2,2,1,2,1,7,7,5
"555",578,63247,66,2,77,3,2,2,1,1,1,6,2,7,7
"556",579,63256,29,2,6,2,1,2,3,2,4,6,6,0,7
"557",580,63333,48,2,2,3,2,2,2,1,1,6,7,0,10
"558",581,63354,80,2,3,1,2,2,2,1,3,6,2,0,6
"559",582,63365,70,2,5,2,2,1,2,1,1,6,5,0,9
"560",583,63416,62,1,6,3,1,1,2,1,1,6,7,0,9
"561",585,63498,68,2,1,3,2,1,1,1,1,6,7,7,10
"562",586,63509,35,1,4,3,2,2,2,2,1,6,6,2,5
"563",587,63516,60,2,1,1,1,2,3,2,4,4,6,0,10
"564",588,63526,85,1,77,2,2,1,3,1,1,4,7,0,6
"565",589,63528,35,2,88,3,1,1,1,1,1,6,7,2,10
"566",590,63541,87,2,1,1,2,2,4,2,1,4,2,0,1
"567",591,63604,75,2,1,3,2,2,2,1,1,1,5,1,6
"568",592,63621,49,2,10,3,2,2,1,2,2,6,4,1,7
"569",593,63691,65,2,2,2,1,2,1,1,3,4,2,1,8
"570",594,63737,57,2,1,1,2,2,1,2,1,1,2,0,8
"571",595,63762,76,2,77,3,2,1,1,1,2,5,3,2,10
"572",596,63790,68,2,6,1,1,4,4,3,3,6,6,0,3
"573",597,63797,48,2,4,3,1,1,1,1,2,6,3,1,7
"574",598,63801,32,2,77,3,2,1,2,2,1,6,7,5,5
"575",599,63817,61,1,1,1,1,2,3,2,2,4,7,0,5
"576",600,63871,30,1,1,2,2,4,4,4,4,1,7,0,4
"577",601,63907,26,1,8,3,2,2,2,2,1,6,3,1,7
"578",602,63931,38,1,88,2,2,2,2,2,1,5,3,2,7
"579",603,63946,70,2,1,3,2,2,2,1,2,4,2,7,5
"580",604,63965,65,2,4,3,1,1,1,1,2,4,1,7,5
"581",605,63971,47,2,10,3,2,1,1,2,2,2,5,3,7
"582",606,63972,74,1,8,3,2,1,1,1,2,4,2,7,8
"583",607,64043,48,2,6,2,2,2,2,2,3,4,6,5,7
"584",608,64049,87,2,88,2,2,1,1,1,1,6,7,0,6
"585",609,64079,62,2,4,2,2,1,1,1,4,4,6,7,10
"586",610,64084,53,2,4,3,2,2,2,1,2,6,2,0,4
"587",611,64116,88,1,2,2,2,2,2,2,2,6,7,2,8
"588",612,64127,86,1,9,2,2,2,1,1,1,6,1,7,9
"589",614,64155,51,1,8,3,2,2,1,2,2,2,7,5,7
"590",615,64198,46,1,8,3,2,2,1,1,2,4,2,5,8
"591",616,64234,27,2,4,3,1,2,1,2,2,6,7,5,7
"593",618,64244,80,2,2,2,1,1,1,1,2,6,2,4,5
"594",619,64252,60,2,77,3,1,1,1,1,2,6,3,7,9
"595",620,64254,57,1,88,1,2,2,1,3,1,1,3,1,8
"596",621,64266,24,2,77,3,2,2,2,1,1,6,3,6,8
"597",622,64285,55,1,9,3,2,1,1,1,1,4,6,2,9
"598",623,64296,37,1,5,3,1,2,2,2,2,2,6,7,5
"599",624,64303,74,2,88,2,1,1,1,1,4,4,6,4,10
"600",625,64342,68,2,4,1,2,2,4,3,4,6,6,0,4
"601",626,64349,61,1,1,2,1,3,4,2,4,6,7,7,2
"602",627,64351,33,2,4,3,2,2,2,1,1,6,7,7,7
"603",628,64355,53,2,1,1,2,2,3,1,3,3,6,0,6
"604",629,64370,44,1,10,3,2,1,1,1,3,4,7,0,10
"605",630,64386,48,2,8,3,2,1,1,1,1,4,3,2,6
"606",631,64409,36,2,7,3,2,1,1,1,2,6,6,4,7
"607",632,64417,48,2,77,3,2,1,1,1,1,1,6,0,8
"608",633,64418,63,1,4,3,2,2,1,1,2,4,2,5,5
"609",634,64437,25,1,6,3,1,3,3,4,4,6,6,0,4
"610",635,64442,73,2,4,1,2,1,2,1,2,4,7,0,9
