"","X","idno","agea","gndr","hinctnta","hlthhmp","medtrun","fltsd","cldgng","fltdpr","slprl","cgtsmok","alcfreq","dosprt","ctrlife"
"809",841,68683,36,2,10,2,1,1,1,1,3,4,3,2,5
"810",842,68684,44,1,4,3,2,1,1,1,1,2,6,1,5
"811",843,68706,48,1,2,2,2,1,1,1,1,4,3,7,5
"812",844,68744,41,1,9,2,2,2,1,1,2,4,3,7,7
"813",845,68746,37,1,77,3,2,1,2,1,3,6,2,2,7
"814",846,68771,64,1,7,3,2,1,2,1,1,5,2,7,7
"815",847,68795,33,1,9,1,2,1,1,1,2,6,3,2,8
"816",848,68823,62,1,4,2,2,2,3,2,3,4,7,2,6
"817",849,68824,50,2,77,3,2,1,2,1,1,4,2,3,7
"818",850,68887,61,1,10,3,2,1,1,1,1,6,2,4,8
"819",851,68908,41,2,2,2,2,2,1,2,3,4,4,7,9
"820",852,68955,66,1,4,3,2,1,1,1,1,1,7,4,10
"821",853,68969,20,2,88,3,1,1,1,1,1,6,7,3,5
"822",854,68985,74,2,3,1,2,2,4,1,4,4,7,0,5
"823",855,68988,57,2,3,3,2,2,1,2,1,6,5,3,7
"824",856,69000,42,2,7,3,2,1,1,1,1,4,7,7,10
"825",857,69003,78,1,2,1,2,1,1,1,4,6,7,0,5
"826",858,69020,66,2,88,2,2,2,2,2,1,6,7,7,10
"827",859,69022,35,2,6,2,1,2,2,2,2,6,5,0,7
"828",860,69028,81,2,77,1,2,2,2,2,3,4,5,0,6
"829",861,69041,59,2,88,2,2,2,1,1,2,6,6,7,5
"830",862,69042,27,1,7,3,2,2,2,1,2,6,3,3,7
"831",863,69050,21,2,10,3,1,2,2,2,4,4,5,0,7
"832",864,69054,31,1,7,3,1,1,1,1,2,4,2,5,7
"833",865,69073,33,2,1,3,1,2,3,2,1,4,5,5,7
"834",866,69093,32,2,3,3,2,1,1,1,1,6,3,1,10
"835",867,69130,60,1,10,3,2,1,2,1,2,6,1,7,5
"836",868,69144,81,2,5,2,2,2,2,1,1,1,7,0,5
"837",869,69148,72,2,9,2,2,2,1,1,4,6,1,7,9
"838",870,69169,26,2,10,3,2,2,1,1,3,4,2,4,8
"840",872,69202,75,1,3,2,2,2,2,2,2,4,2,0,7
"841",873,69220,55,2,4,3,1,3,2,1,4,2,6,0,3
"842",874,69227,73,1,10,3,2,1,1,2,1,6,7,7,9
"844",876,69261,54,2,10,3,2,2,1,4,2,6,6,1,8
"845",877,69296,74,2,1,2,2,1,1,1,3,5,5,7,10
"846",879,69320,34,1,5,3,2,1,1,1,2,4,4,1,7
"847",880,69338,30,1,5,2,2,2,2,1,1,4,4,1,7
"848",881,69356,57,2,8,1,1,2,3,2,3,6,5,0,10
"849",882,69383,53,1,10,3,2,2,1,2,1,1,2,7,5
"850",883,69397,47,2,7,3,1,2,3,4,2,4,3,4,8
"851",884,69406,75,1,4,3,2,1,1,1,1,5,1,7,7
"852",885,69431,56,2,1,3,2,2,1,1,2,6,3,4,8
"853",886,69456,49,2,8,3,2,2,2,2,3,1,6,7,3
"854",887,69470,61,1,77,3,2,1,1,1,1,3,7,7,10
"855",888,69480,36,2,2,3,2,2,1,1,1,6,7,0,5
"856",889,69537,32,1,2,1,1,2,1,2,4,6,7,0,10
"857",890,69591,82,1,88,2,2,3,1,4,4,4,7,0,10
"858",891,69705,80,2,5,1,1,2,2,1,1,6,6,0,7
"859",892,69709,69,1,2,2,2,3,3,3,1,4,1,0,5
"860",893,69732,32,2,3,3,2,1,1,1,1,6,6,7,7
"861",894,69811,68,2,4,3,2,2,2,1,1,4,2,3,4
"862",895,69813,36,1,77,3,2,1,2,1,2,6,5,2,10
"863",896,69851,36,1,7,3,2,1,1,1,2,6,2,4,7
"864",897,69874,60,1,77,3,2,1,1,1,1,6,3,5,7
"865",898,69882,75,1,6,3,1,1,1,1,2,4,3,7,9
"866",899,69887,72,2,1,3,2,1,2,1,3,4,3,7,8
"867",900,69910,76,1,7,2,2,1,1,1,1,6,1,3,8
"868",901,69913,68,1,10,3,2,1,1,1,2,5,2,4,9
"869",902,69916,38,1,1,3,2,1,1,1,1,6,7,7,10
"870",903,69920,48,2,2,3,2,3,3,4,1,6,6,7,9
"871",904,69921,32,1,9,3,1,1,1,1,2,4,4,7,8
"872",905,69950,72,1,1,3,2,2,1,2,4,6,3,7,5
"873",907,69983,53,1,77,3,2,1,3,1,4,6,7,2,9
"874",908,69986,59,1,10,2,2,2,4,4,3,6,1,4,4
"875",909,69990,36,1,10,3,2,1,1,1,3,6,4,7,9
"876",910,70000,51,1,3,3,1,4,4,4,2,2,7,3,2
"877",912,70012,26,2,6,3,2,1,1,1,3,6,3,5,6
"878",913,70026,59,2,8,3,2,1,1,1,2,5,2,7,7
"879",914,70037,78,2,2,3,2,1,1,1,1,4,4,4,7
"880",915,70125,54,1,77,3,2,1,2,1,2,6,4,3,10
"881",916,70128,30,2,10,3,2,2,1,1,2,5,4,2,6
"882",917,70131,54,2,1,1,2,3,3,2,4,4,7,2,4
"883",918,70134,72,2,1,2,2,2,2,1,2,6,2,3,3
"884",919,70184,56,1,10,3,2,1,2,1,2,6,2,6,8
"885",920,70187,72,2,77,2,2,1,1,1,1,5,6,0,2
"886",921,70235,33,2,3,1,1,3,3,3,3,2,3,0,2
"887",922,70258,82,2,1,3,2,1,1,1,1,6,1,1,10
"888",923,70264,79,1,77,3,2,2,1,2,1,4,3,2,7
"889",924,70276,72,2,2,3,2,1,2,1,2,1,3,2,10
"890",925,70287,47,2,7,3,2,2,1,1,2,6,4,7,8
"891",927,70355,60,2,77,3,2,2,1,1,2,6,4,1,7
"892",928,70387,51,2,5,3,2,1,1,1,2,4,6,2,7
"893",929,70396,39,1,5,3,1,2,2,2,2,4,7,7,8
"894",930,70397,28,2,7,3,2,2,2,2,2,2,7,7,2
"895",931,70404,86,2,88,3,2,2,2,1,1,4,7,0,9
"896",932,70431,72,1,4,2,2,1,1,1,1,4,6,0,7
"897",933,70448,47,1,10,3,2,1,1,1,2,5,5,2,8
"898",934,70453,81,1,1,1,2,2,1,1,4,4,7,0,8
"899",935,70457,44,2,4,1,1,4,4,4,4,1,6,0,3
"900",936,70460,79,1,7,3,2,2,1,1,1,6,2,7,8
"901",937,70461,19,2,3,3,2,2,2,1,2,6,3,2,6
"902",938,70502,31,2,1,3,1,2,1,2,2,5,6,7,10
"903",939,70537,74,2,2,2,2,2,3,2,3,2,6,1,7
"904",941,70561,71,2,1,2,2,1,1,1,2,6,7,6,6
"905",942,70573,72,2,77,3,2,2,2,2,3,6,7,3,6
"906",943,70579,58,2,1,3,2,1,1,1,2,6,6,7,7
"907",944,70609,57,2,1,2,1,2,2,2,4,4,7,7,5
"908",945,70616,22,1,2,2,2,2,2,3,2,6,3,4,8
"909",946,70630,30,1,7,3,2,1,1,1,4,5,5,7,10
"911",948,70650,58,1,6,3,2,1,1,1,1,6,2,3,7
"912",949,70655,40,2,4,3,1,1,1,1,3,5,6,7,8
"913",950,70674,30,2,8,3,2,3,2,1,3,6,7,2,10
"914",951,70676,65,1,2,1,2,1,2,1,1,4,5,0,6
"915",952,70686,63,2,5,3,2,1,2,1,2,6,2,7,3
"916",953,70687,22,2,2,3,2,1,1,1,1,6,7,0,10
"917",954,70721,79,1,3,2,2,1,1,1,2,6,6,7,9
"918",955,70745,77,1,3,2,2,1,1,1,1,4,7,2,9
"919",956,70767,72,1,4,3,1,1,1,1,1,4,3,3,8
"920",957,70837,38,1,1,3,2,2,3,2,2,1,2,7,3
"921",958,70860,58,2,6,3,1,1,1,1,1,6,4,7,4
"922",959,70861,46,2,5,3,2,1,1,1,3,4,5,2,8
"923",960,70900,86,2,77,2,2,1,2,1,1,6,7,0,8
"924",961,70902,45,2,5,1,1,1,2,2,2,6,7,0,7
"925",962,70927,58,2,6,3,2,2,2,1,1,6,3,5,8
"926",964,71005,68,2,88,2,1,2,1,2,4,6,4,2,2
"927",965,71014,68,1,10,3,2,1,1,1,1,6,7,4,10
"928",966,71031,56,1,88,2,2,1,1,1,1,4,1,7,10
"929",967,71045,52,1,5,2,2,1,1,1,2,2,5,7,7
"930",968,71077,24,1,6,2,2,3,3,3,3,4,3,7,4
"931",969,71084,78,1,10,3,2,2,1,2,2,6,7,4,8
"932",970,71108,75,1,2,2,1,1,1,1,1,6,7,2,7
"933",971,71124,36,1,10,3,2,1,2,1,2,6,3,4,8
"935",973,71149,76,2,8,3,2,1,1,1,4,4,7,2,9
"936",974,71191,31,1,1,2,2,1,2,1,2,6,7,2,8
"937",975,71266,39,1,9,3,2,1,1,1,2,6,3,3,5
"938",976,71310,72,1,5,2,2,3,1,3,3,4,6,7,10
"939",977,71332,55,1,77,3,2,2,1,2,1,1,2,4,7
"940",978,71342,57,2,1,1,1,3,2,2,3,5,4,2,6
"941",979,71385,56,1,88,3,2,1,1,1,1,4,2,5,5
"942",980,71404,61,2,8,3,2,2,1,1,2,4,2,7,8
"943",981,71411,33,2,2,2,2,3,4,3,4,1,5,0,0
"944",982,71413,63,2,77,1,1,2,3,3,4,5,2,0,8
"945",983,71425,36,2,88,3,2,2,2,1,1,6,2,2,6
"946",984,71438,60,1,3,2,2,1,2,1,2,6,2,2,8
"947",985,71444,61,1,4,3,1,2,2,2,1,2,2,0,10
"949",988,71523,75,1,7,3,1,2,1,2,2,4,2,7,6
"950",989,71532,90,2,77,3,2,2,2,1,1,6,1,0,9
"951",990,71553,74,2,4,3,2,2,2,1,1,6,2,6,7
"952",991,71568,56,2,3,3,2,1,2,1,1,3,1,7,7
"953",992,71570,49,1,77,3,2,1,1,1,1,6,4,5,7
"954",993,71577,55,1,7,3,1,2,2,2,2,4,2,1,8
"955",994,71591,45,1,1,1,1,3,3,3,2,1,7,0,3
"956",995,71613,62,2,10,2,2,1,1,1,2,6,7,5,10
"957",996,71617,38,1,10,3,2,1,1,1,1,6,2,5,8
"958",997,71644,32,1,3,3,2,1,2,1,2,6,6,2,8
"959",998,71646,20,2,88,3,2,2,2,1,2,1,6,5,5
"960",999,71651,43,2,9,3,2,2,2,1,2,6,5,7,6
"961",1000,71664,60,2,3,1,1,1,1,1,1,6,4,0,8
"962",1001,71758,54,2,6,3,2,2,1,1,2,2,6,5,10
"963",1002,71832,32,2,2,3,2,2,2,2,4,2,5,1,7
"964",1004,71890,41,2,9,3,2,2,2,2,2,1,7,5,7
"965",1005,71911,79,1,88,1,2,1,2,1,1,6,2,0,0
"966",1007,71968,28,1,77,3,2,1,2,1,1,6,3,5,10
"967",1008,71975,30,2,10,3,2,1,2,1,1,6,3,7,10
"968",1009,71994,33,2,5,3,1,2,2,2,4,5,7,7,7
"970",1011,72053,51,2,10,3,2,2,1,1,2,6,2,5,7
"971",1012,72078,36,2,77,3,2,2,1,2,1,3,3,4,8
"972",1013,72098,79,1,88,1,1,3,3,2,3,4,1,0,2
"973",1014,72116,36,1,8,3,1,2,1,2,4,5,4,7,7
"974",1015,72140,78,2,88,3,2,2,3,2,1,2,1,7,9
"975",1016,72174,63,2,3,3,1,2,1,1,4,5,2,1,6
"976",1017,72191,32,1,77,3,2,2,1,1,1,6,3,5,8
"977",1018,72251,76,1,77,2,2,1,2,1,2,4,2,2,6
"978",1019,72266,68,2,5,3,2,1,1,1,2,6,6,1,9
"979",1020,72291,48,2,77,3,2,2,1,2,2,6,4,7,8
"980",1021,72307,46,2,77,2,1,2,2,2,2,2,7,7,8
"981",1022,72328,69,2,88,3,2,1,1,1,1,4,6,7,7
"982",1023,72344,54,2,7,2,1,1,1,1,2,6,2,4,9
"983",1024,72349,32,2,77,3,2,1,1,1,2,3,3,3,7
"984",1025,72350,80,1,5,2,2,2,2,1,2,4,1,3,8
"985",1026,72358,24,1,77,3,2,1,1,1,2,6,7,4,8
"986",1027,72372,38,2,2,3,1,2,2,2,2,2,2,7,6
"987",1028,72401,35,1,77,3,2,1,1,1,2,6,7,4,5
"988",1029,72405,37,1,8,3,2,1,1,2,4,6,7,1,7
"989",1030,72411,60,2,5,1,1,2,2,1,2,6,7,1,7
"990",1032,72414,78,2,1,3,1,2,2,1,1,6,6,5,4
"991",1033,72419,32,2,88,3,2,2,2,2,1,5,7,1,6
"992",1034,72423,32,2,2,3,2,1,4,1,4,6,6,7,7
"993",1035,72427,31,2,7,3,2,2,2,2,2,4,6,7,10
"994",1036,72439,82,1,77,2,2,2,1,2,1,6,1,0,7
"995",1037,72444,33,1,7,3,1,2,1,1,2,3,3,3,8
"996",1038,72476,55,2,1,2,1,1,1,1,1,5,7,7,2
"997",1039,72505,47,2,8,2,1,2,1,2,1,4,7,0,6
"998",1040,72510,37,2,10,3,2,1,1,1,3,6,6,4,9
"999",1041,72528,62,2,10,3,1,1,1,1,1,5,2,3,8
"1000",1042,72540,40,1,1,3,1,1,1,1,1,3,3,2,8
"1001",1043,72548,50,2,8,3,2,2,2,1,1,6,2,2,7
"1002",1044,72550,38,2,10,3,2,1,2,1,1,4,2,3,8
"1003",1045,72557,74,1,7,3,2,1,1,1,2,6,2,7,8
"1004",1046,72567,25,1,9,3,2,2,2,1,1,6,7,5,7
"1005",1047,72569,76,1,3,3,2,1,1,1,1,4,2,7,10
"1006",1048,72579,69,2,77,1,2,3,1,1,4,4,2,0,3
"1007",1049,72593,27,1,77,3,1,2,2,1,1,6,5,3,7
"1008",1050,72625,68,1,6,3,2,1,1,1,1,6,2,3,8
"1009",1051,72639,19,1,6,3,2,2,2,1,1,6,3,6,7
"1010",1052,72640,35,2,2,2,1,1,1,1,3,4,7,3,8
"1011",1053,72708,39,2,2,3,2,1,1,1,1,6,7,7,7
"1012",1054,72733,31,2,3,3,2,1,1,1,2,6,4,1,5
"1013",1055,72764,24,2,3,3,1,1,1,1,1,4,6,7,5
"1014",1056,72767,25,2,10,3,2,3,2,2,2,5,4,2,4
"1015",1057,72769,34,1,77,3,2,1,1,1,1,2,5,5,10
"1016",1058,72789,90,2,77,1,2,1,3,1,1,6,7,0,8
"1017",1059,72836,60,1,77,3,1,2,2,1,2,6,4,5,4
"1018",1060,72845,53,2,77,3,2,1,1,1,1,4,5,7,10
"1019",1061,72853,61,2,2,2,1,1,2,1,2,4,3,7,6
"1020",1062,72879,75,1,2,2,2,1,1,1,2,4,4,2,8
"1021",1063,72924,18,2,88,2,1,2,2,1,2,6,4,3,6
"1022",1064,72933,70,2,1,1,1,4,4,4,4,4,7,0,7
"1023",1065,72973,52,2,3,3,2,1,2,1,1,6,5,7,7
"1024",1066,72997,47,1,3,3,2,2,2,1,4,6,5,7,10
"1025",1067,73005,30,1,10,3,2,1,1,1,2,4,5,3,7
"1026",1068,73080,50,1,1,1,2,3,2,3,3,4,7,4,3
"1027",1069,73082,56,1,9,1,2,2,3,2,3,6,3,0,6
"1028",1070,73086,56,1,8,3,2,1,1,1,2,3,3,3,7
"1029",1071,73108,59,2,77,1,2,1,1,1,1,6,3,0,7
"1030",1072,73112,49,1,10,2,2,2,1,2,1,4,3,3,8
"1031",1073,73113,22,1,10,3,2,2,2,1,2,6,3,4,8
"1032",1074,73123,43,2,88,3,2,1,1,1,1,6,7,4,10
"1033",1075,73158,66,2,77,1,1,3,3,3,3,6,7,5,1
"1034",1076,73205,75,1,2,3,1,1,1,1,1,4,1,7,10
"1035",1077,73223,37,2,7,3,2,3,2,3,4,4,5,0,5
"1036",1079,73280,65,1,2,2,2,1,2,1,2,2,3,2,8
"1037",1080,73285,59,2,7,3,2,2,2,2,3,6,7,5,10
"1038",1081,73339,37,1,7,3,1,2,2,2,3,2,2,7,7
"1039",1082,73387,29,1,9,3,2,2,1,1,2,6,6,7,3
"1040",1083,73423,60,1,1,1,2,2,1,2,4,4,6,2,9
"1041",1084,73424,27,1,77,3,2,2,1,1,1,6,3,4,7
"1042",1085,73427,44,1,88,3,2,1,1,1,1,6,3,1,8
"1043",1087,73471,83,2,88,3,2,2,2,1,2,1,6,0,4
"1044",1088,73512,65,2,3,3,1,2,1,1,1,5,2,7,7
"1045",1089,73527,50,1,8,3,2,2,1,1,1,6,3,0,8
"1046",1090,73556,62,2,1,1,1,3,3,4,2,6,4,4,4
"1047",1091,73585,38,2,10,3,1,1,1,1,1,3,4,7,8
"1048",1092,73616,33,1,88,1,2,3,3,2,4,2,7,1,1
"1049",1093,73622,67,1,2,3,2,2,3,2,3,4,4,2,2
"1050",1094,73628,50,2,88,3,2,1,2,1,1,4,4,3,10
"1051",1095,73651,57,2,77,2,1,2,2,2,3,1,6,0,6
"1052",1096,73717,17,2,88,3,2,1,2,1,1,6,6,5,8
"1053",1097,73729,64,2,5,2,2,2,2,2,2,6,2,7,4
"1054",1098,73757,62,2,4,1,2,3,4,3,4,6,6,0,5
"1055",1099,73767,41,1,77,3,2,1,1,1,1,6,3,2,7
"1056",1100,73771,55,1,8,3,2,2,1,2,1,6,3,3,10
"1057",1101,73792,73,2,2,3,2,3,2,3,2,6,6,4,6
"1058",1102,73802,45,2,3,3,2,1,1,1,3,4,3,7,7
"1059",1103,73813,29,1,8,3,1,2,2,1,2,4,7,7,8
"1060",1104,73832,67,2,77,1,1,1,2,1,3,6,6,5,5
"1061",1106,73853,64,1,6,3,2,2,2,1,1,4,2,5,8
"1062",1107,73862,59,1,6,3,1,2,1,1,1,6,7,3,2
"1063",1108,73878,33,1,4,3,2,2,1,2,1,6,6,1,9
"1064",1109,73879,29,1,10,3,1,2,1,2,2,5,3,5,7
"1065",1110,73915,33,2,2,1,1,2,2,3,3,1,7,0,5
"1066",1111,73950,40,2,10,3,2,1,2,1,2,5,4,5,8
"1067",1112,74002,41,2,77,2,2,1,1,1,1,6,7,2,7
"1068",1113,74045,67,2,4,1,1,2,3,2,3,4,6,0,8
"1069",1114,74049,76,1,5,3,2,1,1,2,3,6,2,6,9
"1070",1115,74051,33,1,6,2,2,1,1,1,2,5,3,7,7
"1071",1116,74061,34,2,2,3,1,1,2,1,3,6,3,5,6
"1072",1117,74097,36,2,3,3,2,1,1,1,2,5,3,4,7
"1073",1118,74106,27,1,5,3,2,1,1,1,2,6,5,7,8
"1074",1119,74141,83,2,77,2,1,2,1,2,4,4,6,5,2
"1075",1120,74146,19,1,10,3,2,1,2,1,4,5,3,4,7
"1076",1121,74172,43,2,1,3,2,2,2,1,3,1,3,7,8
"1077",1122,74198,29,2,8,3,1,2,1,2,2,6,6,0,6
"1078",1123,74228,69,1,88,3,2,2,2,2,1,6,2,4,9
"1079",1124,74251,72,2,77,3,2,1,2,1,1,6,3,0,8
"1080",1125,74276,48,1,10,3,1,1,1,1,2,4,2,7,8
"1081",1126,74291,29,2,77,3,2,1,1,1,1,5,4,4,7
"1082",1127,74305,69,2,1,2,2,2,3,2,4,1,2,7,7
"1083",1128,74310,25,2,4,2,1,3,3,3,4,5,5,2,5
"1084",1129,74312,76,1,2,3,2,1,1,1,1,4,7,7,10
"1085",1130,74316,70,2,77,3,2,2,1,1,2,6,7,7,7
"1086",1131,74323,55,1,7,2,2,2,1,1,1,2,6,0,9
"1087",1132,74327,77,1,10,3,2,1,1,1,1,6,1,7,8
"1088",1133,74427,59,2,77,2,2,2,2,1,2,2,2,0,8
"1089",1134,74428,72,2,3,3,2,1,1,1,1,4,7,7,10
"1090",1135,74442,72,2,2,2,2,1,1,1,1,6,7,3,10
"1091",1136,74467,80,1,5,3,2,1,2,1,1,6,2,7,5
"1092",1137,74468,66,2,5,1,1,2,2,2,3,4,6,1,4
"1093",1138,74477,56,1,9,3,2,1,1,1,3,4,3,7,8
"1094",1139,74478,90,2,77,2,2,1,1,1,1,6,7,0,8
"1095",1140,74497,53,2,88,3,2,2,1,1,2,6,6,7,9
"1096",1141,74511,30,1,7,3,1,1,2,1,2,4,3,3,8
"1097",1142,74551,37,2,6,3,2,1,1,1,1,6,3,7,8
"1098",1143,74565,62,1,77,1,2,1,1,1,3,1,1,0,5
"1099",1144,74580,70,2,6,2,1,1,1,1,1,5,6,4,7
"1100",1145,74613,28,2,77,3,2,2,2,1,2,6,7,2,5
"1101",1146,74663,45,1,9,3,2,1,1,1,2,6,4,5,6
"1102",1147,74677,53,2,1,3,2,1,1,1,1,6,7,4,8
"1103",1148,74744,69,2,77,3,2,2,2,3,3,6,2,7,9
"1104",1149,74755,23,2,88,2,2,1,2,1,1,6,7,4,8
"1105",1150,74756,25,1,2,3,2,3,3,2,2,6,3,7,2
"1106",1151,74806,34,1,9,3,2,1,1,1,2,6,2,7,8
"1107",1152,74855,26,2,88,3,2,2,1,1,2,6,2,5,4
"1108",1153,74864,89,2,1,1,2,1,1,1,2,6,7,0,5
"1109",1154,74891,70,1,2,2,2,2,2,1,2,4,4,7,5
"1110",1155,74895,47,2,9,2,2,3,2,1,2,6,7,0,5
"1111",1156,74900,35,1,77,3,2,1,1,1,1,3,7,5,7
"1112",1157,74926,47,2,77,3,2,1,1,2,2,5,7,4,9
"1113",1158,74941,75,2,2,1,1,1,2,1,4,6,7,1,9
"1114",1160,74994,43,1,5,3,2,2,2,1,1,4,4,7,6
"1115",1161,75011,85,1,1,3,2,2,1,2,4,6,6,7,7
"1116",1162,75046,57,2,8,3,1,1,1,1,1,5,6,2,9
"1117",1163,75056,50,1,3,3,2,2,2,2,1,1,2,5,5
"1118",1164,75068,25,2,7,3,2,2,4,4,2,3,3,3,7
"1119",1166,75092,26,2,7,3,2,2,2,1,2,5,3,4,10
"1120",1167,75131,32,2,9,3,2,4,1,1,1,5,3,3,8
"1121",1168,75161,65,1,1,2,2,1,1,1,1,6,2,7,9
"1122",1169,75173,85,2,88,1,2,1,2,2,1,4,3,0,9
"1123",1170,75175,44,2,7,2,2,2,1,2,4,6,2,0,6
"1124",1171,75183,68,2,4,3,2,1,1,1,2,6,6,7,10
"1125",1172,75196,38,2,10,2,1,2,4,2,2,6,4,0,8
"1126",1173,75231,21,2,88,3,1,1,1,1,2,6,4,7,6
"1127",1174,75252,45,2,77,3,2,1,1,1,1,4,7,7,7
"1128",1175,75273,58,1,2,2,1,1,1,1,3,4,2,0,6
"1129",1176,75280,64,1,9,3,2,1,1,1,1,6,3,5,6
"1130",1177,75311,70,1,3,3,2,2,2,2,1,1,1,0,9
"1131",1179,75346,62,1,8,3,2,1,2,1,2,4,2,1,8
"1132",1180,75372,60,1,6,2,2,1,2,1,3,4,2,4,6
"1133",1181,75380,65,2,5,3,2,1,1,1,1,6,2,1,9
"1134",1183,75429,69,1,2,3,2,3,1,1,1,6,2,7,8
"1135",1185,75450,49,2,6,3,1,1,2,2,2,1,1,7,4
"1136",1186,75452,26,1,7,3,2,2,2,2,2,6,5,4,8
"1137",1187,75458,82,1,77,2,2,2,1,1,2,4,7,4,8
"1138",1188,75460,56,1,4,3,2,1,1,1,1,6,6,7,7
"1139",1189,75464,61,2,10,3,2,1,1,1,2,6,4,2,6
"1140",1190,75508,35,1,5,3,1,4,1,2,2,4,1,7,1
"1141",1191,75545,72,2,4,2,1,2,2,1,1,4,1,1,10
"1142",1192,75622,67,1,88,2,1,2,1,3,2,6,7,7,10
"1143",1193,75624,33,2,77,3,2,2,1,1,3,6,6,4,6
"1144",1194,75626,17,1,9,3,2,1,1,1,1,6,6,6,6
"1145",1195,75630,40,2,9,1,2,3,2,3,2,4,2,5,0
"1146",1196,75725,66,1,6,3,2,1,1,1,1,1,1,2,10
"1147",1197,75766,16,1,88,3,2,1,1,1,1,6,7,5,7
"1148",1198,75783,31,2,6,3,2,1,1,1,1,4,4,3,8
"1149",1199,75825,89,2,5,1,2,1,2,1,1,6,1,0,8
"1150",1200,75844,73,2,3,3,2,2,1,2,1,6,6,7,8
"1151",1201,75872,50,2,77,3,1,1,1,1,3,4,3,7,6
"1152",1202,75873,29,1,8,3,1,1,2,1,4,6,3,6,2
"1153",1203,75889,80,1,2,1,2,2,3,2,3,2,1,0,6
"1154",1204,75907,28,1,10,3,2,1,1,1,1,6,7,7,8
"1155",1205,75922,39,2,77,1,2,3,1,2,1,6,7,0,6
"1156",1206,75948,70,2,2,2,2,1,1,1,2,4,6,0,8
"1157",1207,75961,73,1,77,2,2,1,1,2,4,6,2,0,5
"1158",1208,75969,68,2,5,3,1,2,2,1,3,6,6,7,7
"1159",1209,75977,79,1,10,1,2,2,1,2,2,1,4,0,4
"1160",1210,75986,66,1,3,3,1,2,1,1,1,4,2,0,9
"1161",1211,75988,85,2,1,1,1,3,3,3,2,6,7,0,3
"1162",1212,75992,60,2,1,3,2,1,1,1,2,6,6,7,5
"1163",1213,76013,62,1,6,3,2,1,1,1,1,6,2,3,8
"1164",1214,76046,33,1,10,3,1,1,1,1,1,6,2,7,7
"1165",1215,76052,23,1,77,2,1,2,2,1,3,2,4,5,7
"1166",1216,76063,35,2,6,3,1,1,1,1,1,3,2,7,5
"1168",1218,76082,36,1,10,3,2,1,1,1,1,6,7,1,10
"1169",1219,76087,27,1,5,2,1,2,3,2,4,4,2,2,3
"1170",1220,76095,81,1,3,2,2,1,1,1,2,6,7,7,7
"1171",1221,76100,53,2,77,3,2,1,1,1,1,6,3,5,8
"1172",1222,76104,61,1,2,2,1,2,2,2,2,4,3,7,6
"1173",1223,76123,41,2,8,3,1,1,1,1,2,6,4,7,7
"1174",1224,76127,70,2,77,3,2,1,1,1,1,6,4,2,8
"1175",1225,76129,57,1,1,1,2,2,2,2,1,4,2,3,6
"1176",1226,76150,78,2,77,1,2,2,1,1,1,6,6,0,8
"1177",1227,76153,77,2,1,3,2,1,1,1,4,6,4,6,10
"1178",1228,76165,75,1,4,2,1,2,1,1,2,4,4,4,5
"1179",1229,76174,29,2,7,2,1,2,2,1,3,6,5,5,8
"1180",1230,76208,67,2,8,3,2,1,2,1,1,6,6,3,9
"1181",1231,76245,48,2,77,3,2,1,1,1,1,6,7,0,10
"1182",1232,76270,67,1,77,1,2,2,2,4,3,6,7,0,4
"1183",1233,76283,53,1,10,2,2,2,2,2,4,4,2,5,7
"1184",1234,76285,41,2,9,3,2,2,1,1,2,6,5,3,7
"1185",1235,76293,57,1,8,3,2,1,1,2,1,6,3,7,10
"1186",1236,76346,47,1,4,3,2,1,1,1,1,6,7,7,8
"1187",1237,76355,70,2,2,3,2,2,3,1,3,6,3,7,3
"1188",1238,76394,24,1,5,3,2,2,2,1,2,6,4,7,8
"1189",1239,76502,56,2,5,3,1,2,1,1,2,5,6,5,6
"1191",1241,76531,33,1,77,3,2,1,1,1,1,6,5,5,5
"1192",1242,76562,43,2,9,2,2,2,2,2,4,3,3,7,7
"1193",1243,76568,20,1,77,3,2,2,1,1,2,6,7,7,7
"1194",1244,76632,74,1,77,3,2,2,2,2,2,6,5,3,4
"1195",1245,76656,66,2,3,2,1,2,2,2,3,4,6,4,8
"1196",1246,76664,83,1,4,1,2,1,2,1,1,4,3,0,7
"1197",1247,76701,71,1,1,2,2,2,1,2,1,6,7,7,7
"1198",1248,76735,89,2,77,2,2,2,1,2,1,4,7,3,4
"1199",1249,76781,30,1,10,3,2,1,1,1,1,5,3,4,9
"1200",1250,76855,81,2,2,3,2,1,1,1,1,3,2,4,0
"1201",1251,76856,24,1,88,3,2,1,1,2,3,6,6,2,7
"1202",1252,76889,34,1,10,3,2,1,2,1,3,4,2,4,8
"1203",1253,76895,48,2,1,3,2,2,2,2,2,1,4,3,5
"1204",1254,76917,61,2,8,3,2,1,1,1,1,5,5,4,9
"1205",1255,76960,71,1,1,1,1,2,2,2,3,1,7,0,6
"1206",1256,76968,69,2,77,3,2,1,1,1,1,6,7,4,7
"1207",1257,76982,33,2,77,3,2,2,2,1,2,6,6,7,7
"1208",1258,76991,20,2,77,3,1,2,2,1,1,3,5,5,2
"1209",1259,77005,74,2,2,3,2,2,2,2,4,4,7,7,10
"1210",1260,77019,33,2,2,3,2,4,4,4,4,6,7,7,0
"1211",1261,77021,63,2,9,3,2,2,1,1,2,6,3,5,8
